"CATEGORIA";"UNIDADE";"PRODUTO DE VENDA";"VENDA DE FRENTE DE LOJA";"VENDA DELIVERY";"CANCELAMENTOS C/DESPERDICIO";"SAIDA TOTAL";"CUSTO";"CUSTO TOTAL";"RECEITA FRENTE DE LOJA";"RECEITA DELIVERY";"VALOR CANCELAMENTOS";"VALOR TOTAL S/CANCELAMENTOS";"CANCELAMENTOS S/DESPERDICIO";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"LEGUMES SALTEADOS - MSP";"1";"0";"0";"1";"1,62";"1,62";"6";"0";"0";"6,00";"0";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"AD MOLHO GOOD LIFE";"0";"115";"0";"115";"1,04";"119,60";"0";"345";"0";"345,00";"0";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"AD MOLHO GARLIC";"0";"248";"0";"248";"0,93";"230,64";"0";"744";"0";"744,00";"0";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"AD MOLHO KETCHUP DE GOIABA GRATIS";"0";"1223";"0";"1223";"0,27";"330,21";"0";"0";"0";"0,00";"0";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"AD MOLHO GARLIC GRATIS";"0";"2188";"0";"2188";"0,32";"700,16";"0";"0";"0";"0,00";"0";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"AD MOLHO DA CASA GRATIS";"0";"2133";"0";"2133";"0,19";"405,27";"0";"0";"0";"0,00";"0";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"AD MOLHO GOOD LIFE GRATIS";"0";"491";"0";"491";"0,34";"166,94";"0";"0";"0";"0,00";"0";
"ADICIONAIS";"LIFEBOX - SETOR OESTE/ GO";"NAO QUERO MOLHO EXTRA";"0";"398";"0";"398";"0,00";"0,00";"0";"0";"0";"0,00";"0";
"ALEM DA CAIXA";"LIFEBOX - SETOR OESTE/ GO";"BONE LIFEBOX -  LANCAMENTO";"0";"0";"0";"0";"30,84";"0,00";"0";"0";"0";"0,00";"2";
"ALMOCO BOM E BARATO";"LIFEBOX - SETOR OESTE/ GO";"FRANGO AO MOLHO DE QUEIJOS COM FETTUCCINE ALHO E OLEO.";"0";"266";"0";"266";"10,56";"2.808,96";"0";"9283";"0";"9.283,40";"0";
"ALMOCO BOM E BARATO";"LIFEBOX - SETOR OESTE/ GO";"FRANGO MILANESA COM MOLHO CREMOSO.";"0";"151";"0";"151";"8,89";"1.342,39";"0";"5572";"0";"5.571,90";"0";
"ALMOCO BOM E BARATO";"LIFEBOX - SETOR OESTE/ GO";"FETTUCCINE AO MOLHO ALFREDO COM MILANESA DE FRANGO.";"0";"717";"0";"717";"10,52";"7.542,84";"0";"23589";"0";"23.589,30";"0";
"ALMOCO BOM E BARATO";"LIFEBOX - SETOR OESTE/ GO";"FETTUCCINE   AO MOLHO POMODORO COM FRANGO A MILANESA.";"0";"169";"0";"169";"8,43";"1.424,67";"0";"5560";"0";"5.560,10";"0";
"BAIXA CALORIA NO LIFE";"LIFEBOX - SETOR OESTE/ GO";"FRESH FILE SALAD";"0";"0";"8";"8";"16,06";"128,48";"0";"0";"416";"0,00";"0";
"BAIXA CALORIA NO LIFE";"LIFEBOX - SETOR OESTE/ GO";"PINK ZERO";"0";"0";"4";"4";"3,97";"15,88";"0";"0";"100";"0,00";"0";
"BAIXA CALORIA NO LIFE";"LIFEBOX - SETOR OESTE/ GO";"MIX ZERO";"0";"0";"4";"4";"9,96";"39,84";"0";"0";"100";"0,00";"0";
"BAIXA CALORIA NO LIFE";"LIFEBOX - SETOR OESTE/ GO";"BRAVO BURGER";"0";"0";"5";"5";"13,89";"69,45";"0";"0";"260";"0,00";"0";
"BAIXA CALORIA NO LIFE";"LIFEBOX - SETOR OESTE/ GO";"BRAVO CHICKEN";"0";"0";"4";"4";"7,99";"31,96";"0";"0";"196";"0,00";"0";
"BAIXA CALORIA NO LIFE";"LIFEBOX - SETOR OESTE/ GO";"YELLOW ZERO";"1";"0";"0";"1";"3,85";"3,85";"19";"0";"0";"19,00";"0";
"BEBIDAS";"LIFEBOX - SETOR OESTE/ GO";"REFRIGERANTES LATA";"1392";"0";"38";"1430";"0,00";"0,00";"480";"0";"0";"479,88";"39";
"BEBIDAS";"LIFEBOX - SETOR OESTE/ GO";"COCA COLA KS ZERO";"438";"0";"7";"445";"3,29";"1.464,05";"4380";"0";"70";"4.379,99";"18";
"BEBIDAS";"LIFEBOX - SETOR OESTE/ GO";"PINK LEMONADE";"182";"0";"11";"193";"4,95";"955,35";"3458";"0";"209";"3.457,98";"2";
"BEBIDAS";"LIFEBOX - SETOR OESTE/ GO";"REFIL DE REFRIGERANTE";"2107";"0";"20";"2127";"0,00";"0,00";"37926";"0";"360";"37.926,00";"47";
"BEBIDAS";"LIFEBOX - SETOR OESTE/ GO";"AGUA SEM GAS 500ML";"457";"5";"9";"471";"1,43";"673,53";"2736";"40";"54";"2.776,00";"3";
"BEBIDAS";"LIFEBOX - SETOR OESTE/ GO";"SUCO COMBINADO";"465";"0";"13";"478";"0,00";"0,00";"9300";"0";"260";"9.299,96";"6";
"BEBIDAS";"LIFEBOX - SETOR OESTE/ GO";"AGUA COM GAS 500ML";"637";"8";"5";"650";"1,64";"1.066,00";"4442";"72";"35";"4.513,92";"15";
"BEBIDAS";"LIFEBOX - SETOR OESTE/ GO";"SUCO DE LARANJA";"578";"98";"15";"691";"3,10";"2.142,10";"5228";"908";"90";"6.135,50";"21";
"BEBIDAS";"LIFEBOX - SETOR OESTE/ GO";"SUCO DE LIMAO 300 ML COLABORADOR";"97";"0";"163";"260";"1,95";"507,00";"0";"0";"0";"0,00";"3";
"BEBIDAS";"LIFEBOX - SETOR OESTE/ GO";"SUCO DE MORANGO";"199";"52";"10";"261";"2,55";"665,55";"3611";"962";"180";"4.573,00";"6";
"BEBIDAS";"LIFEBOX - SETOR OESTE/ GO";"SUCO DE MARACUJA";"243";"56";"10";"309";"5,67";"1.752,03";"4462";"980";"180";"5.442,00";"61";
"BEBIDAS";"LIFEBOX - SETOR OESTE/ GO";"H2O LIMONETO";"123";"7";"3";"133";"4,49";"597,17";"1476";"63";"36";"1.538,97";"7";
"BEBIDAS";"LIFEBOX - SETOR OESTE/ GO";"LIMONADA SUIÇA";"352";"58";"4";"414";"3,93";"1.627,02";"5632";"1015";"64";"6.646,79";"7";
"BEBIDAS";"LIFEBOX - SETOR OESTE/ GO";"SUCO DE AMORA";"38";"16";"1";"55";"4,54";"249,70";"684";"296";"18";"980,00";"0";
"BEBIDAS";"LIFEBOX - SETOR OESTE/ GO";"SUCO DE LIMAO";"96";"12";"1";"109";"4,56";"497,04";"1198";"83";"15";"1.280,50";"0";
"BEBIDAS";"LIFEBOX - SETOR OESTE/ GO";"REFIL - COLECIONAVEIS";"33";"0";"0";"33";"0,00";"0,00";"759";"0";"0";"759,00";"5";
"BEBIDAS";"LIFEBOX - SETOR OESTE/ GO";"VINTAGE DRINK";"50";"0";"2";"52";"6,93";"360,36";"1300";"0";"52";"1.299,92";"0";
"BEBIDAS";"LIFEBOX - SETOR OESTE/ GO";"COCA COLA KS";"239";"0";"3";"242";"3,30";"798,60";"2390";"0";"30";"2.390,00";"20";
"BEBIDAS";"LIFEBOX - SETOR OESTE/ GO";"SUCO ABACAXI HORTELA";"110";"15";"2";"127";"4,02";"510,54";"1980";"263";"36";"2.242,50";"1";
"BEBIDAS";"LIFEBOX - SETOR OESTE/ GO";"SUCO FRUTAS VERMELHAS";"96";"46";"2";"144";"3,55";"511,20";"1920";"897";"40";"2.817,00";"1";
"BEBIDAS";"LIFEBOX - SETOR OESTE/ GO";"MENU KIDS - SUCO DE LARANJA";"25";"0";"0";"25";"1,54";"38,50";"0";"0";"0";"0,00";"0";
"BEBIDAS";"LIFEBOX - SETOR OESTE/ GO";"ENERGETICO MONSTER";"7";"5";"4";"16";"9,72";"155,52";"175";"98";"100";"272,50";"4";
"BEBIDAS";"LIFEBOX - SETOR OESTE/ GO";"AGUA COM GAS COPO";"11";"0";"0";"11";"0,00";"0,00";"121";"0";"0";"121,00";"2";
"BEBIDAS";"LIFEBOX - SETOR OESTE/ GO";"ENERGETICO MONSTER ZERO";"6";"0";"2";"8";"1,33";"10,64";"150";"0";"50";"150,00";"0";
"BEBIDAS";"LIFEBOX - SETOR OESTE/ GO";"COCA COLA LATA";"407";"0";"4";"411";"3,42";"1.405,62";"4070";"0";"40";"4.070,00";"13";
"BEBIDAS";"LIFEBOX - SETOR OESTE/ GO";"REFIL SPRITE (INDIVIDUAL)";"177";"0";"1";"178";"1,31";"233,18";"11";"0";"0";"11,00";"0";
"BEBIDAS";"LIFEBOX - SETOR OESTE/ GO";"MORANGO CONGELADO";"430";"59";"11";"500";"0,00";"0,00";"0";"0";"0";"0,00";"2";
"BEBIDAS";"LIFEBOX - SETOR OESTE/ GO";"COCA COLA ZERO LATA";"752";"0";"29";"781";"3,54";"2.764,74";"7520";"0";"290";"7.520,00";"17";
"BEBIDAS";"LIFEBOX - SETOR OESTE/ GO";"REFIL COCA COLA ZERO (INDIVIDUAL)";"997";"0";"11";"1008";"3,92";"3.951,36";"22";"0";"0";"22,00";"24";
"BEBIDAS";"LIFEBOX - SETOR OESTE/ GO";"REFIL COCA COLA (INDIVIDUAL)";"780";"0";"7";"787";"2,34";"1.841,58";"77";"0";"0";"77,00";"21";
"BEBIDAS";"LIFEBOX - SETOR OESTE/ GO";"REFIL FANTA GUARANA (INDIVIDUAL)";"84";"0";"0";"84";"1,31";"110,04";"0";"0";"0";"0,00";"0";
"BEBIDAS";"LIFEBOX - SETOR OESTE/ GO";"SEM GELO";"48";"0";"0";"48";"0";"0";"0";"0,00";"1";
"BEBIDAS";"LIFEBOX - SETOR OESTE/ GO";"POLPA MARACUJÁ";"222";"37";"4";"263";"0,00";"0,00";"0";"0";"0";"0,00";"2";
"BEBIDAS";"LIFEBOX - SETOR OESTE/ GO";"REFIL FANTA LARANJA (INDIVIDUAL)";"78";"0";"0";"78";"1,31";"102,18";"11";"0";"0";"11,00";"1";
"BEBIDAS";"LIFEBOX - SETOR OESTE/ GO";"SCHWEPPES CITRUS LATA";"31";"0";"0";"31";"3,55";"110,05";"310";"0";"0";"310,00";"0";
"BEBIDAS";"LIFEBOX - SETOR OESTE/ GO";"FANTA GUARANA LATA";"55";"0";"4";"59";"3,25";"191,75";"550";"0";"40";"550,00";"1";
"BEBIDAS";"LIFEBOX - SETOR OESTE/ GO";"SPRITE LATA";"41";"0";"0";"41";"3,29";"134,89";"410";"0";"0";"410,00";"0";
"BEBIDAS";"LIFEBOX - SETOR OESTE/ GO";"REFIL AGUA COM GAS";"45";"0";"1";"46";"0,00";"0,00";"0";"0";"0";"0,00";"2";
"BEBIDAS";"LIFEBOX - SETOR OESTE/ GO";"SEM AÇUCAR";"107";"0";"1";"108";"0";"0";"0";"0,00";"0";
"BEBIDAS";"LIFEBOX - SETOR OESTE/ GO";"FANTA LARANJA LATA";"40";"0";"1";"41";"3,43";"140,63";"400";"0";"10";"400,00";"0";
"BEBIDAS";"LIFEBOX - SETOR OESTE/ GO";"VODKA";"8";"0";"0";"8";"0,00";"0,00";"56";"0";"0";"56,00";"0";
"BEBIDAS";"LIFEBOX - SETOR OESTE/ GO";"POLPA DE AMORA";"23";"21";"2";"46";"0,00";"0,00";"0";"0";"0";"0,00";"0";
"BEBIDAS";"LIFEBOX - SETOR OESTE/ GO";"PARA VIAGEM";"267";"0";"370";"637";"0";"0";"0";"0,00";"6";
"BEBIDAS";"LIFEBOX - SETOR OESTE/ GO";"SCHWEPPES TONICA LATA";"18";"0";"0";"18";"3,70";"66,60";"180";"0";"0";"180,00";"0";
"BEBIDAS";"LIFEBOX - SETOR OESTE/ GO";"ABACAXI";"2";"4";"0";"6";"0,00";"0,00";"0";"0";"0";"0,00";"0";
"BEBIDAS";"LIFEBOX - SETOR OESTE/ GO";"COPO AGRIDOCE";"6";"0";"0";"6";"3,05";"18,30";"0";"0";"0";"0,00";"0";
"BEBIDAS";"LIFEBOX - SETOR OESTE/ GO";"COPO TRADICIONAL";"9";"0";"0";"9";"3,20";"28,80";"0";"0";"0";"0,00";"0";
"BEBIDAS";"LIFEBOX - SETOR OESTE/ GO";"GIN";"3";"0";"0";"3";"6,39";"19,17";"27";"0";"0";"27,00";"0";
"BEBIDAS";"LIFEBOX - SETOR OESTE/ GO";"GELO E LIMÃO NO COPO";"1";"0";"0";"1";"0";"0";"0";"0,00";"0";
"BEBIDAS";"LIFEBOX - SETOR OESTE/ GO";"COCA COLA ZERO COPO";"25";"0";"0";"25";"3,92";"98,00";"275";"0";"0";"275,00";"0";
"BEBIDAS";"LIFEBOX - SETOR OESTE/ GO";"FANTA LARANJA COPO";"2";"0";"0";"2";"3,92";"7,84";"22";"0";"0";"22,00";"0";
"BEBIDAS";"LIFEBOX - SETOR OESTE/ GO";"COCA COLA COPO";"6";"0";"0";"6";"2,34";"14,04";"66";"0";"0";"66,00";"0";
"BEBIDAS";"LIFEBOX - SETOR OESTE/ GO";"FANTA GUARANA COPO";"1";"0";"0";"1";"3,92";"3,92";"11";"0";"0";"11,00";"0";
"BEBIDAS";"LIFEBOX - SETOR OESTE/ GO";"SPRITE COPO";"1";"0";"0";"1";"3,92";"3,92";"11";"0";"0";"11,00";"0";
"BEBIDAS";"LIFEBOX - SETOR OESTE/ GO";"SUCO COMBINADO DELIVERY";"0";"82";"0";"82";"1,33";"109,06";"0";"1881";"0";"1.881,00";"0";
"BEBIDAS";"LIFEBOX - SETOR OESTE/ GO";"REFRI LATA DELIVERY";"0";"685";"0";"685";"0,00";"0,00";"0";"6850";"0";"6.850,00";"0";
"BEBIDAS";"LIFEBOX - SETOR OESTE/ GO";"BEBIDAS DIVERSAS DELIVERY";"0";"25";"0";"25";"0,00";"0,00";"0";"0";"0";"0,00";"0";
"BEBIDAS";"LIFEBOX - SETOR OESTE/ GO";"SUCO DELIVERY";"0";"303";"0";"303";"1,33";"402,99";"0";"0";"0";"0,00";"0";
"BEBIDAS ALCOOLICAS";"LIFEBOX - SETOR OESTE/ GO";"CHOPP HEINEKEN";"1343";"0";"36";"1379";"5,05";"6.963,95";"21512";"0";"576";"21.511,97";"69";
"BEBIDAS ALCOOLICAS";"LIFEBOX - SETOR OESTE/ GO";"PASSION DRINK";"28";"0";"5";"33";"16,87";"556,71";"980";"0";"175";"979,92";"0";
"BEBIDAS ALCOOLICAS";"LIFEBOX - SETOR OESTE/ GO";"PREPARO DE COZUMEL";"31";"0";"0";"31";"0,70";"21,70";"155";"0";"0";"155,00";"2";
"BEBIDAS ALCOOLICAS";"LIFEBOX - SETOR OESTE/ GO";"HEINEKEN LONG NECK";"61";"0";"3";"64";"6,13";"392,32";"976";"0";"48";"976,00";"8";
"BEBIDAS ALCOOLICAS";"LIFEBOX - SETOR OESTE/ GO";"GIN TONICA CRANBERRY";"10";"0";"0";"10";"11,06";"110,60";"398";"0";"0";"398,00";"0";
"BEBIDAS ALCOOLICAS";"LIFEBOX - SETOR OESTE/ GO";"PINK LEMONADE MIX";"25";"0";"3";"28";"6,71";"187,88";"875";"0";"105";"875,00";"1";
"BEBIDAS ALCOOLICAS";"LIFEBOX - SETOR OESTE/ GO";"DOSE JACK";"9";"0";"0";"9";"8,22";"73,98";"180";"0";"0";"180,00";"0";
"BEBIDAS ALCOOLICAS";"LIFEBOX - SETOR OESTE/ GO";"TROPICAL SUNSET";"19";"0";"1";"20";"10,18";"203,60";"665";"0";"35";"665,00";"0";
"BEBIDAS ALCOOLICAS";"LIFEBOX - SETOR OESTE/ GO";"COZUMEL HEINEKEN";"67";"0";"2";"69";"5,28";"364,32";"1254";"0";"38";"1.254,00";"5";
"BEBIDAS ALCOOLICAS";"LIFEBOX - SETOR OESTE/ GO";"DOSE CACHACA";"4";"0";"0";"4";"2,52";"10,08";"56";"0";"0";"56,00";"0";
"BEBIDAS ALCOOLICAS";"LIFEBOX - SETOR OESTE/ GO";"DOSE GIN";"5";"0";"0";"5";"6,39";"31,95";"90";"0";"0";"90,00";"0";
